M=1.5 Msun              				        M=3.0 Msu    
ISOT.            Z        X_ini       X_AGB_He      M_He(ej)	  X_AGB_He      M_He(ej)      
pr141   5.0000D-04   5.8565D-10     2.4846D-08    4.7632D-02	2.2021D-08    5.2500D-02   
pr142   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pr143   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd142   5.0000D-04   7.9465D-10     6.3877D-08    4.7632D-02	4.5631D-08    5.2500D-02   
nd143   5.0000D-04   3.5566D-10     1.0510D-08    4.7632D-02	1.0936D-08    5.2500D-02   
nd144   5.0000D-04   7.0556D-10     3.4105D-08    4.7632D-02	3.7100D-08    5.2500D-02   
nd145   5.0000D-04   2.4776D-10     6.5283D-09    4.7632D-02	7.1688D-09    5.2500D-02   
nd146   5.0000D-04   5.1564D-10     3.2127D-08    4.7632D-02	3.6477D-08    5.2500D-02   
nd147   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd148   5.0000D-04   1.7558D-10     2.7806D-09    4.7632D-02	3.6747D-09    5.2500D-02   
nd149   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
nd150   5.0000D-04   1.7423D-10     2.1834D-13    4.7632D-02	6.4702D-14    5.2500D-02   
pm147   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pm148   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
pm149   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm147   5.0000D-04   1.4588D-10     2.9199D-09    4.7632D-02	3.3274D-09    5.2500D-02   
sm148   5.0000D-04   1.0748D-10     1.0686D-08    4.7632D-02	1.2226D-08    5.2500D-02   
sm149   5.0000D-04   1.3193D-10     1.6530D-09    4.7632D-02	1.9382D-09    5.2500D-02   
sm150   5.0000D-04   7.1257D-11     7.1589D-09    4.7632D-02	8.4838D-09    5.2500D-02   
sm151   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm152   5.0000D-04   2.6047D-10     6.0717D-09    4.7632D-02	7.3043D-09    5.2500D-02   
sm153   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
sm154   5.0000D-04   2.2445D-10     1.1786D-10    4.7632D-02	1.4737D-10    5.2500D-02   
eu151   5.0000D-04   1.7464D-10     1.1631D-09    4.7632D-02	1.3880D-09    5.2500D-02   
eu152   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu153   5.0000D-04   1.9331D-10     9.9524D-10    4.7632D-02	1.1927D-09    5.2500D-02   
eu154   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu155   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu156   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
eu157   5.0000D-04   0.0000D+00     0.0000D+00    4.7632D-02	0.0000D+00    5.2500D-02   
      					       	       	  		   	       	       		    
ba134   1.0000D-03   3.6327D-10     3.3004D-08    2.1424D-02	3.3851D-08    2.3600D-02   
ba135   1.0000D-03   9.9387D-10     2.3052D-08    2.1424D-02	2.9359D-08    2.3600D-02   
ba136   1.0000D-03   1.1940D-09     1.1510D-07    2.1424D-02	1.1430D-07    2.3600D-02   
ba137   1.0000D-03   1.7173D-09     1.2453D-07    2.1424D-02	3.0869D-07    2.3600D-02   
ba138   1.0000D-03   1.1052D-08     1.5114D-06    2.1424D-02	1.5200D-06    2.3600D-02   
ba139   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ba140   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la139   1.0000D-03   1.5419D-09     1.6097D-07    2.1424D-02	1.6062D-07    2.3600D-02   
la140   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
la141   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce140   1.0000D-03   3.4994D-09     5.6996D-07    2.1424D-02	4.9252D-07    2.3600D-02   
ce141   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
ce142   1.0000D-03   4.4500D-10     2.5208D-08    2.1424D-02	8.7980D-08    2.3600D-02   
ce143   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr141   1.0000D-03   5.8565D-10     5.7586D-08    2.1424D-02	5.0970D-08    2.3600D-02   
pr142   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pr143   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd142   1.0000D-03   7.9465D-10     1.5214D-07    2.1424D-02	1.0603D-07    2.3600D-02   
nd143   1.0000D-03   3.5566D-10     2.3891D-08    2.1424D-02	2.4772D-08    2.3600D-02   
nd144   1.0000D-03   7.0556D-10     7.7356D-08    2.1424D-02	8.3499D-08    2.3600D-02   
nd145   1.0000D-03   2.4776D-10     1.4795D-08    2.1424D-02	1.6113D-08    2.3600D-02   
nd146   1.0000D-03   5.1564D-10     7.2772D-08    2.1424D-02	8.1231D-08    2.3600D-02   
nd147   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd148   1.0000D-03   1.7558D-10     6.2734D-09    2.1424D-02	8.5036D-09    2.3600D-02   
nd149   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
nd150   1.0000D-03   1.7423D-10     5.4184D-13    2.1424D-02	1.4573D-13    2.3600D-02   
pm147   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm148   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
pm149   1.0000D-03   0.0000D+00     0.0000D+00    2.1424D-02	0.0000D+00    2.3600D-02   
